Site,Habitat,Resource,Min,Low,Mid,Top,Max
Burns Harbor,NS,NS Alewife,0.2,2.7,6.1,11.1,22.4
Burns Harbor,NS,NS Invertebrates,1.8,10.9,18.3,25.4,37.7
Burns Harbor,NS,NS Shiner,0.4,4.8,10.4,18.2,33.8
Burns Harbor,WL,WL Invertebrates,0.2,1.9,4.3,7.8,16.5
Burns Harbor,WL,WL Seston,40.2,51.7,56.6,61.2,69.6
Little Sturgeon,NS,NS Fish,6.6,30.9,42.5,52.4,67.5
Little Sturgeon,NS,NS Invertebrates,0.9,8,14.7,21.9,38.6
Little Sturgeon,WL,WL Fish,1.7,13.3,23.5,35.5,60.4
Little Sturgeon,WL,WL Invertebrates,1,9.3,17.1,25.4,39.4
